"Everything you can open, in one place.",كل ما يمكنك فتحه، في مكان واحد.
"No modules configured yet. Create Shell Module records, or scaffold one from an existing DocType.",لا توجد وحدات مُهيّأة بعد. أنشئ وحدات من Shell Module، أو استخدم أداة التهيئة السريعة من DocType موجود.
"You cannot pick a {0} here: your role has no read access to {0}. Ask the administrator for read access, or for a default value.","لا يمكنك اختيار {0} هنا: دورك لا يملك صلاحية قراءة {0}. اطلب من مدير النظام صلاحية القراءة، أو قيمة افتراضية."
(location),(موقع)
A Create action runs at module level,إجراء الإنشاء يُنفَّذ على مستوى الوحدة
Add a comment,أضف تعليقًا
Add row,إضافة صف
Approve,موافقة
Approved,موافق عليه
Apps,التطبيقات
Attachments,المرفقات
Automatic actions are disabled for this module,الإجراءات التلقائية معطّلة لهذه الوحدة
Automatic discovery is off,الاكتشاف التلقائي معطّل
Back to Frappe,العودة إلى Frappe
Back,رجوع
Cancel,إلغاء
Cancelled,ملغى
Clear,تفريغ
Close navigation menu,إغلاق قائمة التنقل
Comments,التعليقات
Could not load the form.,تعذّر تحميل النموذج.
Could not load this group.,تعذّر تحميل هذه المجموعة.
Could not load this module.,تعذّر تحميل الوحدة.
Could not load this record.,تعذّر تحميل هذا السجل.
Done,تم
Draft,مسودة
Field {0} does not exist,الحقل {0} غير موجود
Filter,تصفية
Find a module,ابحث عن وحدة
Getting your location…,جارٍ تحديد موقعك…
Good afternoon,مساء الخير
Good evening,مساء الخير
Good morning,صباح الخير
Home,الرئيسية
Load More,تحميل المزيد
Loading…,جارٍ التحميل…
Main navigation,التنقل الرئيسي
Max,إلى
Min,من
Module {0} already exists,الوحدة {0} موجودة مسبقًا
Modules,الوحدات
More,المزيد
My Settings,إعداداتي
New {0},{0} جديد
New,جديد
Next,التالي
No comments yet.,لا توجد تعليقات بعد.
No matching records.,لا توجد سجلات مطابقة.
Not permitted,غير مسموح
Nothing to show.,لا شيء لعرضه.
of,من
Open file,فتح الملف
Open in Frappe,فتح في Frappe
Open navigation menu,فتح قائمة التنقل
Open record,فتح السجل
Open the full form in Frappe,فتح النموذج الكامل في Frappe
Opening…,جارٍ الفتح…
Previous,السابق
Quick access,وصول سريع
Record not found,السجل غير موجود
Reject,رفض
Rejected,مرفوض
Remove,إزالة
Rows per page,صفوف في الصفحة
Save and Submit,حفظ واعتماد
Save,حفظ
Saved as draft. Submitting a {0} is for the approver, not for your role.,تم الحفظ كمسودة. اعتماد {0} من صلاحية المعتمد وليس من صلاحيات دورك.
Saved,تم الحفظ
Search,بحث
Send,إرسال
Showing the first {0} rows,عرض أول {0} صف
Status,الحالة
Submit,اعتماد
Submitted,معتمد
The map library could not be loaded. Closed networks require a local tile server.,تعذّر تحميل مكتبة الخرائط. داخل الشبكات المغلقة يلزم خادم خرائط محلي.
The shell is not enabled. Enable it in Shell Settings.,الواجهة غير مفعّلة. فعّلها من إعدادات الواجهة (Shell Settings).
This action is not available for this record,هذا الإجراء غير متاح لهذا السجل
This action runs in the browser,هذا الإجراء يُنفَّذ من المتصفح
This is not a module-level Create action,هذا الإجراء ليس إجراء إنشاء على مستوى الوحدة
This module is disabled,الوحدة غير مفعّلة
This module is not a List module,هذه الوحدة ليست من نوع قائمة
Unknown action,إجراء غير معروف
Unknown group,مجموعة غير معروفة
Unknown module,وحدة غير معروفة
Write a comment,اكتب تعليقًا
Your login is not linked to an Employee record. Ask HR to link it.,حسابك غير مرتبط بسجل موظف. اطلب من الموارد البشرية ربطه.
{0} taken · {1} pending,{0} مستخدمة · {1} بانتظار الاعتماد
